Wall time,Step,Value
1566335822.8347745,10,0.8053684830665588
1566336014.721689,20,0.7818916440010071
1566336205.806094,30,0.7945622801780701
1566336396.4289598,40,0.7933139204978943
1566336590.7202187,50,0.8139467239379883
1566336780.7766337,60,0.815863847732544
1566336972.933236,70,0.8074822425842285
1566337170.9821653,80,0.7997142672538757
1566337366.110346,90,0.7924945950508118
1566337569.6764429,100,0.797243595123291
1566337760.2690122,110,nan
1566337954.6062858,120,nan
1566338150.9786422,130,nan
1566338347.3838308,140,nan
1566338545.4593208,150,nan
1566338739.186815,160,nan
1566338937.6728334,170,nan
1566339133.4516714,180,nan
1566339332.836827,190,nan
1566339524.4766338,200,nan
1566339724.1521258,210,nan
1566339922.1126955,220,nan
1566340117.8376656,230,nan
1566340314.9411805,240,nan
1566340512.0102735,250,nan
1566340705.0767484,260,nan
1566340905.9095547,270,nan
1566341100.5958064,280,nan
1566341294.8037398,290,nan
1566341492.2968638,300,nan
1566341689.849263,310,nan
1566341885.973231,320,nan
1566342082.9807146,330,nan
1566342282.409563,340,nan
1566342481.5262551,350,nan
1566342674.708358,360,nan
1566342876.7267656,370,nan
1566343072.2295916,380,nan
1566343266.6273148,390,nan
1566343462.3108923,400,nan
1566343659.602998,410,nan
1566343856.6872742,420,nan
1566344052.5791965,430,nan
1566344249.4914055,440,nan
1566344445.9632149,450,nan
1566344639.296677,460,nan
1566344833.504484,470,nan
1566345032.6469364,480,nan
1566345226.7677097,490,nan
1566345426.6077104,500,nan
