Wall time,Step,Value
1566827625.0712423,10,0.7235862612724304
1566827795.2809274,20,0.6852097511291504
1566827958.5661323,30,0.6185122728347778
1566828115.834832,40,0.5872106552124023
1566828276.9655495,50,0.5610343217849731
1566828439.0391302,60,0.768354594707489
1566828599.581224,70,0.8152071237564087
1566828757.9339752,80,0.8426045179367065
1566828917.6083045,90,0.8238531947135925
1566829077.0653756,100,0.8311767578125
1566829238.3615267,110,nan
1566829400.557292,120,nan
1566829564.6171572,130,nan
1566829725.558652,140,nan
1566829885.720939,150,nan
1566830053.2682788,160,nan
1566830212.4586246,170,nan
1566830374.3427207,180,nan
1566830534.883169,190,nan
1566830696.9469101,200,nan
1566830864.2308416,210,nan
1566831024.8815491,220,nan
1566831186.336284,230,nan
1566831344.3973477,240,nan
1566831512.3913128,250,nan
1566831674.620166,260,nan
1566831835.8495586,270,nan
1566831998.0930312,280,nan
1566832166.8676708,290,nan
1566832328.6822364,300,nan
1566832492.6055763,310,nan
1566832656.4457603,320,nan
1566832820.958186,330,nan
1566832983.0304363,340,nan
1566833147.1017582,350,nan
1566833309.5846786,360,nan
1566833475.8369827,370,nan
1566833639.9572048,380,nan
1566833802.5298727,390,nan
1566833966.8147907,400,nan
1566834140.542978,410,nan
1566834303.9454122,420,nan
1566834469.263669,430,nan
1566834631.2521672,440,nan
1566834795.9843395,450,nan
1566834959.578152,460,nan
1566835122.1801522,470,nan
1566835284.157477,480,nan
1566835450.154055,490,nan
1566835612.314699,500,nan
